Nombre,Latitude,Longitude,Marca,Distrito,Zona,Direccion,Premium_con_descuento,Premium_lista,Descuento,Regular_lista,Diesel_lista,Codigo_Osinergmin,Actualizado
"Primax S/ 21.89","-12.190748","-77.0063","Primax","CHORRILLOS","Lima","AV. CAMINOS DEL INCA N° 110-134, SUB LOTE 8-A, MZ. Ñ. URB. SAN JUAN BAUTISTA DE VILLA - PRIMERA ETAPA","21.89","22.89","1.00","21.69","25.49","7096","2026-09-23"
"Primax S/ 21.89","-12.075922","-77.11469","Primax","LA PERLA","Callao","AV. LA PAZ N° 2326","21.89","22.89","1.00","21.55","25.99","15725","2026-09-23"
"Primax S/ 21.89","-11.903967","-77.129234","Primax","VENTANILLA","Callao","PARCELA “A” ALTURA KM 8 DE LA CARRETERA CALLAO - VENTANILLA","21.89","22.89","1.00","21.19","25.99","171680","2026-09-23"
"Primax S/ 21.95","-12.1931","-76.96426","Primax","VILLA EL SALVADOR","Lima","AV. MATEO PUMACAHUA S/N. MZ. D, LOTE 1","21.95","22.95","1.00","21.89","25.35","8065","2026-09-23"
"Primax S/ 21.95","-12.12266","-77.01106","Primax","MIRAFLORES","Lima","JR. ARIAS SCHEREIBER N° 124, ESQ. JOSE SABOGAL","21.95","22.95","1.00","20.95","24.95","6771","2026-09-23"
"Primax S/ 21.99","-12.220706","-76.93259","Primax","VILLA EL SALVADOR","Lima","AV. JOSE CARLOS MARIATEGUI, ESQ. AV. REVOLUCION. SECTOR 3 GRUPO 15 MZ. A, LTS. 12 Y 13","21.99","22.99","1.00","21.89","25.49","14872","2026-09-23"
"Primax S/ 21.99","-12.116012","-77.018524","Primax","SURQUILLO","Lima","AV. REPÚBLICA DE PANAMÁ N° 5160","21.99","22.99","1.00","20.99","24.89","18639","2026-09-23"
"Primax S/ 21.99","-12.0831","-77.0138","Primax","LA VICTORIA","Lima","AV. NICOLAS ARRIOLA N° 710, URB. SANTA CATALINA","21.99","22.99","1.00","21.69","25.39","100155","2026-09-23"
"Primax S/ 21.99","-12.048769","-77.1006","Primax","CALLAO","Callao","AV. ARGENTINA N° 4247","21.99","22.99","1.00","21.09","26.19","9588","2026-09-23"
"Repsol S/ 21.99","-11.988168","-77.08121","Repsol","SAN MARTIN DE PORRES","Lima","AV. UNIVERSITARIA NORTE N° 2901","21.99","24.99","3.00","22.99","27.99","19982","2026-09-23"
"Repsol S/ 21.99","-12.073144","-77.01665","Repsol","LA VICTORIA","Lima","AV. MEXICO N° 1291-1295 ESQUINA CON JR. PARINACOCHAS","21.99","24.99","3.00","22.99","27.99","7010","2026-09-23"
"Primax S/ 22.05","-12.131079","-76.97757","Primax","SANTIAGO DE SURCO","Lima","AV. CIRCUNVALACION N° 377, ESQ. CON PROLONGACIÓN BENAVIDES","22.05","23.05","1.00","21.45","25.55","40353","2026-09-23"
"Primax S/ 22.05","-12.127262","-76.97759","Primax","SANTIAGO DE SURCO","Lima","AV. SAN JUAN N° 112, URB. SANTA TERESA","22.05","23.05","1.00","21.15","25.75","6873","2026-09-23"
"Primax S/ 22.05","-12.130175","-76.98178","Primax","SANTIAGO DE SURCO","Lima","AV. BENAVIDES Y CAMINOS DEL INCA N° 2009 Y 2017, URB. LAS GARDENIAS, 3RA ETAPA","22.05","23.05","1.00","21.45","25.39","9247","2026-09-23"
"Primax S/ 22.05","-12.107555","-77.01028","Primax","SAN BORJA","Lima","AV. JOSE GALVEZ BARRENECHEA ESQ. CON LA CALLE 32","22.05","23.05","1.00","21.55","25.05","14691","2026-09-23"
"Primax S/ 22.09","-11.995721","-77.084946","Primax","SAN MARTIN DE PORRES","Lima","MZ. B, LT. 5 Y 15, URB. VILLA UNIVERSITARIA","22.09","23.09","1.00","21.95","26.05","7309","2026-09-23"
"Primax S/ 22.09","-12.135003","-77.02521","Primax","MIRAFLORES","Lima","ESQ. AV. LA PAZ Y AV. ARMENDARIZ N° 575","22.09","23.09","1.00","21.09","24.89","21665","2026-09-23"
"Primax S/ 22.19","-12.146861","-77.01171","Primax","SANTIAGO DE SURCO","Lima","AV. JORGE CHAVEZ N° 870 - 877, ESQ. AV. ROOSVELT","22.19","23.19","1.00","21.39","25.09","41547","2026-09-23"
"Primax S/ 22.19","-12.064305","-76.96035","Primax","LA MOLINA","Lima","AV. LA MOLINA Nº 580, ESQ. CON LA CALLE LAS MANDARINAS","22.19","23.19","1.00","22.09","25.49","40709","2026-09-23"
"Primax S/ 22.19","-12.070613","-76.953354","Primax","LA MOLINA","Lima","AV. JAVIER PRADO ESTE MZ. O - 6 LOTE 3, ESQUINA CALLE TOULON, URB. LA RIVERA DE MONTERRICO","22.19","23.19","1.00","22.09","25.49","84588","2026-09-23"
